province_code,province_name,city_name,city_code,Latitude,Longitude,city_name_zh,city_name_zh2,province_name_zh,province_name_en,,,,,,,
340000 ,Anhui Province,Bengbu,340300,32.9400 ,117.3600 ,蚌埠,蚌埠,安徽,Anhui Province,,,,,,,
340000 ,Anhui Province,Huainan,340400,32.6264 ,116.9998 ,淮南,淮南,安徽,Anhui Province,,,,,,,
340000 ,Anhui Province,Maanshan,340500,31.7000 ,118.5000 ,马鞍山,马鞍山,安徽,Anhui Province,,,,,,,
340000 ,Anhui Province,Huaibei,340600,33.9558 ,116.7983 ,淮北,淮北,安徽,Anhui Province,,,,,,,
340000 ,Anhui Province,Tongling,340700,30.9500 ,117.8167 ,铜陵,铜陵,安徽,Anhui Province,,,,,,,
340000 ,Anhui Province,Anqing,340800,30.5083 ,117.0500 ,安庆,安庆,安徽,Anhui Province,,,,,,,
340000 ,Anhui Province,Huangshan,341000,29.7219 ,118.3375 ,黄山,黄山,安徽,Anhui Province,,,,,,,
340000 ,Anhui Province,Chuzhou,341100,32.2610 ,118.3160 ,滁州,滁州,安徽,Anhui Province,,,,,,,
340000 ,Anhui Province,Fuyang,341200,32.8986 ,115.8040 ,阜阳,阜阳,安徽,Anhui Province,,,,,,,
340000 ,Anhui Province,Suzhou,341300,33.6480 ,116.9640 ,宿州,宿州,安徽,Anhui Province,,,,,,,
340000 ,Anhui Province,Chaohu,341400,31.5833 ,117.8500 ,巢湖,巢湖,安徽,Anhui Province,,,,,,,
340000 ,Anhui Province,Liuan,341500,31.7356 ,116.5170 ,六安,六安,安徽,Anhui Province,,,,,,,
340000 ,Anhui Province,Bozhou,341600,33.8463 ,115.7786 ,亳州,亳州,安徽,Anhui Province,,,,,,,
340000 ,Anhui Province,Chizhou,341700,30.6578 ,117.4831 ,池州,池州,安徽,Anhui Province,,,,,,,
340000 ,Anhui Province,Xuancheng,341800,30.9390 ,118.7590 ,宣城,宣城,安徽,Anhui Province,,,,,,,
350000 ,Fujian Province,Fuzhou,350100,26.0614 ,119.3061 ,福州,福州,福建,Fujian Province,,,,,,,
350000 ,Fujian Province,Xiamen,350200,24.4798 ,118.0894 ,厦门,厦门,福建,Fujian Province,,,,,,,
350000 ,Fujian Province,Putian,350300,25.4394 ,119.0103 ,莆田,莆田,福建,Fujian Province,,,,,,,
350000 ,Fujian Province,Sanming,350400,26.2486 ,117.6186 ,三明,三明,福建,Fujian Province,,,,,,,
350000 ,Fujian Province,Quanzhou,350500,24.8740 ,118.6758 ,泉州,泉州,福建,Fujian Province,,,,,,,
350000 ,Fujian Province,Zhangzhou,350600,24.5135 ,117.6473 ,漳州,漳州,福建,Fujian Province,,,,,,,
350000 ,Fujian Province,Nanping,350700,26.6450 ,118.1736 ,南平,南平,福建,Fujian Province,,,,,,,
350000 ,Fujian Province,Longyan,350800,25.1000 ,117.0300 ,龙岩,龙岩,福建,Fujian Province,,,,,,,
350000 ,Fujian Province,Ningde,350900,26.6617 ,119.5260 ,宁德,宁德,福建,Fujian Province,,,,,,,
360000 ,Jiangxi Province,Nanchang,360100,28.6829 ,115.8582 ,南昌,南昌,江西,Jiangxi Province,,,,,,,
360000 ,Jiangxi Province,Jingdezhen,360200,29.2917 ,117.1986 ,景德镇,景德镇,江西,Jiangxi Province,,,,,,,
360000 ,Jiangxi Province,Pingxiang,360300,27.6333 ,113.8500 ,萍乡,萍乡,江西,Jiangxi Province,,,,,,,
360000 ,Jiangxi Province,Jiujiang,360400,29.7362 ,116.0021 ,九江,九江,江西,Jiangxi Province,,,,,,,
360000 ,Jiangxi Province,Xinyu,360500,27.8186 ,114.9167 ,新余,新余,江西,Jiangxi Province,,,,,,,
360000 ,Jiangxi Province,Yingtan,360600,28.2721 ,117.0395 ,鹰潭,鹰潭,江西,Jiangxi Province,,,,,,,
360000 ,Jiangxi Province,Ganzhou,360700,25.8466 ,114.9326 ,赣州,赣州,江西,Jiangxi Province,,,,,,,
